['02742', 'O', '342', '470', '473', '347', 'Oz', 'Oz']
['04871', '652', '572', '679', 'O', 'O', '646', '670']
['02743', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['04933', '99', '46', '170', 'O', '190', '75', '192']
['02745', '410', '492', '393', '375', '492', 'O', 'O']
['04944', '108', '176', '48', '175', 'Oz', 'O', '77']
['02746', '69', '40', '111', '92', '49', '48', 'O']
['06234', '343', '475', '376', '492', '398', '340', 'O']
['02747', '176', '48', '81', '71', '43', 'O', 'O']
['06509', '707', '690', '705', '642', '743', 'O', 'Oz']
['02748', '381', 'O', 'O', '697', '791', '376', '647']
['06514', '382', '470', '341', '382', '394', '492', 'O']
['02749', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['06636', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02750', 'I-GO', '396', '350', '475', '371', 'Oz', '486']
['09267', '643', '778', '696', 'O', '641', '698', '786']
['02751', '694', '708', 'Oz', '743', '707', '641', '869']
['09406', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21001', 'O', 'O', '496', '640', '773', '773', 'O']
['21042', 'O', '700', '669', '372', 'O', '677', '645']
['21002', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21043', 'I-PD', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21006', 'O', 'O', '92', '77', '69', '90', 'O']
['21044', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21007', '487', '395', 'Oz', 'Oz', 'Oz', '345', '567']
['21045', '178', '195', '172', '76', 'Oz', 'Oz', 'Oz']
['21010', 'O', 'O', '80', '75', '175', '170', 'O']
['21046', '471', '770', '647', 'O', '708', '640', '790']
['21011', '443', '411', '485', '340', '399', 'O', 'O']
['21047', '142', 'O', '196', '172', '52', '174', '46']
['21012', '671', '776', '646', '698', 'O', '774', '693']
['21048', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['21013', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21049', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21014', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21050', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21015', '187', 'Oz', '52', '178', '99', '45', 'O']
['21051', '71', '177', '139', 'Oz', '89', '185', '175']
['21016', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21052', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['21018', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21053', '709', '741', '641', '794', 'O', 'Oz', '770']
['21019', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21055', '408', '393', '351', '404', '410', '474', 'O']
['21020', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21056', '189', '47', '101', 'O', '44', '190', '43']
['21021', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['3720304', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21022', '74', '98', 'O', '46', '96', '74', 'O']
['3760392', '495', '382', '382', '346', '344', 'O', 'O']
['21023', '49', '70', '78', 'Oz', 'I-DK', 'Oz', 'Oz']
